"Train","Start","End","Top Speed","JNR","JR Central","JR West","JR Kyushu","JR East","JR Hokkaido"
"0","1964","2008","220","1","1","1","0","0","0"
"100","1985","2012","220","1","1","1","0","0","0"
"300","1992","2012","270","0","1","1","0","0","0"
"500","1997","","300","0","0","1","0","0","0"
"700","1999","","300","0","1","1","0","0","0"
"N700","2007","","300","0","1","1","1","0","0"
"N700A","2012","","300","0","1","1","0","0","0"
"N700S","2020","","365","0","1","1","1","0","0"
"800","2004","","260","0","0","0","1","0","0"
"200","1982","2013","275","1","0","0","0","1","0"
"400","1992","2010","240","0","0","0","0","1","0"
"E1","1994","2012","240","0","0","0","0","1","0"
"E2","1997","","275","0","0","0","0","1","0"
"E3","1997","","275","0","0","0","0","1","0"
"E4","1997","","240","0","0","0","0","1","0"
"E5","2011","","320","0","0","0","0","1","0"
"E6","2013","","360","0","0","0","0","1","0"
"H5","2016","","320","0","0","0","0","0","1"
"E7","2014","","275","0","0","0","0","1","0"
"W7","2014","","275","0","0","1","0","0","0"
